Day,Temperature,Wind,Humidity,Precipitation,Lightning,Clouds
1,36,5,45,False,False,Cumulus
2,33,8,50,False,False,Altocumulus
3,31,12,60,True,False,Cirrus
4,32,6,55,False,False,Cumulus
5,30,10,60,False,False,Cumulonimbus
6,30,12,65,True,True,Cirrus
7,31,8,55,False,False,Altocumulus
8,34,5,50,False,False,Cumulus
9,35,7,55,False,False,Cirrus
10,36,4,50,False,False,Altocumulus
11,34,6,45,False,False,Altocumulus
12,33,5,40,False,False,Cumulus
13,32,6,40,False,False,Cirrus
14,34,5,50,False,False,Altocumulus
15,32,7,55,False,False,Cirrus
