Day,Temperature,Wind,Humidity,Precipitation,Lightning,Clouds
1,14,10,75,True,False,Cumulus
2,15,8,70,True,False,Stratocumulus
3,13,12,80,True,False,Cumulus
4,14,10,75,True,False,Nimbostratus
5,13,15,85,True,False,Cumulonimbus
6,14,10,70,False,False,Altostratus
7,15,8,65,False,False,Cirrus
8,16,6,60,False,False,Altocumulus
9,15,8,65,False,False,Cirrocumulus
10,14,12,75,True,False,Cumulus
11,15,10,70,True,False,Stratocumulus
12,13,15,80,True,False,Cumulonimbus
13,14,10,70,False,False,Altostratus
14,15,8,65,False,False,Cirrus
15,16,6,60,False,False,Altocumulus
